StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Prolific ID,Attention Check,medicaid-1_1,medicaid-2_1,medicaid-3_1,medicaid-4_1,veterans-1_1,veterans-2_1,veterans-3_1,veterans-4_1,pensions-1_1,pensions-2_1,pensions-3_1,pensions-4_1,foreign_aid-1_1,foreign_aid-2_1,foreign_aid-3_1,foreign_aid-4_1,confinement-1_1,confinement-2_1,confinement-3_1,confinement-4_1,suicide-1_1,suicide-2_1,suicide-3_1,suicide-4_1,border-1_1,border-2_1,border-3_1,border-4_1,felon_voting-1_1,felon_voting-2_1,felon_voting-3_1,felon_voting-4_1,affirmative_action-1_1,affirmative_action-2_1,affirmative_action-3_1,affirmative_action-4_1,electoral_college-1_1,electoral_college-2_1,electoral_college-3_1,electoral_college-4_1,authorship,PROLIFIC_PID,issue,model,variant
2024-03-12 15:12:09,2024-03-12 15:13:19,IP Address,47.185.3.58,100,70,True,2024-03-12 15:13:20,R_3IQRLHUTY9OueaN,,,,,32.9321,-97.2834,anonymous,EN,I agree to take part,63d1462855a43c2aa551bda2,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,80,0,0,,,,,A political journalist,63d1462855a43c2aa551bda2,affirmative action,shareGPT,3
2024-03-12 15:12:46,2024-03-12 15:15:09,IP Address,75.111.124.107,100,143,True,2024-03-12 15:15:10,R_5O0ythL9Rk3RVar,,,,,32.3891,-98.797,anonymous,EN,I agree to take part,5efb67fe9ebc120c269b62a0,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,100,A political science graduate student,5efb67fe9ebc120c269b62a0,electoral college,Llama-2-instruct,2
2024-03-12 15:18:54,2024-03-12 15:20:41,IP Address,24.45.112.172,100,107,True,2024-03-12 15:20:42,R_7Rlsca7OJyzkY2u,,,,,41.0916,-74.3719,anonymous,EN,I agree to take part,6329bd3e699f53922a5da47c,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,60,,,,,,,,,An AI language model,6329bd3e699f53922a5da47c,felons voting,Llama-2-instruct,2
2024-03-12 15:19:15,2024-03-12 15:21:55,IP Address,47.135.69.131,100,159,True,2024-03-12 15:21:55,R_3f9leLJCxiH5N9J,,,,,35.9188,-81.5403,anonymous,EN,I agree to take part,5efc93cee5498304e29af363,On-line sources only,,,,,,,,,,,,,,,,,,,,,71,25,50,65,,,,,,,,,,,,,,,,,An AI language model,5efc93cee5498304e29af363,assisted suicide,OpenOrca,1
2024-03-12 15:24:23,2024-03-12 15:25:45,IP Address,47.225.234.110,100,82,True,2024-03-12 15:25:46,R_6G63Ilfuul8b4GZ,,,,,43.4831,-89.751,anonymous,EN,I agree to take part,5e6560b5b402952e900827c5,On-line sources only,,,,,,,,,,,,,,,,,92,7,28,94,,,,,,,,,,,,,,,,,,,,,A political science graduate student,5e6560b5b402952e900827c5,solitary confinement,Llama-2-instruct,1
2024-03-12 15:24:00,2024-03-12 15:25:59,IP Address,72.238.41.112,100,119,True,2024-03-12 15:26:00,R_2bJ23TnRQxkoHde,,,,,28.9453,-81.2989,anonymous,EN,I agree to take part,5dd446ab87c1fd43fbb49aa1,On-line sources only,,,,,,,,,82,16,80,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A college Professor,5dd446ab87c1fd43fbb49aa1,pensions,GPT-4_Alpaca,1
2024-03-12 15:26:01,2024-03-12 15:27:36,IP Address,98.189.160.7,100,94,True,2024-03-12 15:27:36,R_23Q9KPNaIhwL8oF,,,,,33.4339,-117.6221,anonymous,EN,I agree to take part,6287ffe58cc443c89bf9e1a3,On-line sources only,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,An AI language model,6287ffe58cc443c89bf9e1a3,foreign aid,GPT-4_Alpaca,3
2024-03-12 15:28:37,2024-03-12 15:30:07,IP Address,199.79.170.163,100,90,True,2024-03-12 15:30:08,R_7VO3jMfpCa0CdEG,,,,,41.0349,-73.7216,anonymous,EN,I agree to take part,612d392b4ed3130794cc1eeb,On-line sources only,,,,,,,,,,,,,,,,,8,94,8,47,,,,,,,,,,,,,,,,,,,,,A political journalist,612d392b4ed3130794cc1eeb,solitary confinement,GPT-4_Alpaca,2
2024-03-12 15:28:45,2024-03-12 15:30:24,IP Address,168.245.163.90,100,99,True,2024-03-12 15:30:25,R_7lYuPJbkIM5P3vm,,,,,36.1732,-85.4536,anonymous,EN,I agree to take part,60fa2e13870d7bb57b21427f,On-line sources only,,,,,,,,,,,,,,,,,,,,,50,47,49,50,,,,,,,,,,,,,,,,,An AI language model,60fa2e13870d7bb57b21427f,assisted suicide,GPT-4_Alpaca,3
2024-03-12 15:28:53,2024-03-12 15:30:29,IP Address,99.23.43.117,100,95,True,2024-03-12 15:30:29,R_3MgIIRVCTSrKFDH,,,,,37.6687,-97.2217,anonymous,EN,I agree to take part,63eaa6adf989350fb6225d79,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,100,,,,,,,,,A political journalist,63eaa6adf989350fb6225d79,felons voting,GPT-4_Alpaca,1
2024-03-12 15:29:03,2024-03-12 15:30:46,IP Address,50.233.155.171,100,102,True,2024-03-12 15:30:46,R_3c1QzhWNYYPR8MJ,,,,,42.0774,-71.0446,anonymous,EN,I agree to take part,57f6aefc42bfc700016ab1e0,On-line sources only,,,,,,,,,,,,,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,A political journalist,57f6aefc42bfc700016ab1e0,foreign aid,OpenOrca,1
2024-03-12 15:29:08,2024-03-12 15:32:01,IP Address,24.147.172.80,100,172,True,2024-03-12 15:32:01,R_7PCky0BhzrKxyjf,,,,,42.5811,-71.4387,anonymous,EN,I agree to take part,62ac9371593c281f6b982129,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,60,40,55,45,,,,,,,,,,,,,A political journalist,62ac9371593c281f6b982129,border restrictions,GPT-4_Alpaca,2
2024-03-12 15:34:20,2024-03-12 15:37:46,IP Address,72.206.101.164,100,205,True,2024-03-12 15:37:47,R_6mbf5i4Bm7t2J3P,,,,,41.294,-96.0541,anonymous,EN,I agree to take part,6092dea4efd6d61350f0fdbf,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,71,22,18,A political science graduate student,6092dea4efd6d61350f0fdbf,electoral college,GPT-4_Alpaca,1
2024-03-12 16:16:06,2024-03-12 16:17:06,IP Address,136.62.246.137,100,60,True,2024-03-12 16:17:07,R_3tDm9KUayxzrepJ,,,,,30.3414,-97.7312,anonymous,EN,I agree to take part,62965122a53c887ef6e20631,On-line sources only,,,,,,,,,100,0,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A political science graduate student,62965122a53c887ef6e20631,pensions,shareGPT,1
2024-03-12 16:17:57,2024-03-12 16:19:46,IP Address,209.147.172.4,100,109,True,2024-03-12 16:19:47,R_2CwiXlMK7WhPMLO,,,,,33.3997,-111.9355,anonymous,EN,I agree to take part,6400d95ce46ca5e724b1cc5d,On-line sources only,,,,,10,75,24,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An AI language model,6400d95ce46ca5e724b1cc5d,veteran healthcare,shareGPT,3
2024-03-12 16:29:09,2024-03-12 16:30:42,IP Address,76.78.120.148,100,93,True,2024-03-12 16:30:42,R_2ffZaqehvrotaZr,,,,,39.9999,-76.3612,anonymous,EN,I agree to take part,60fcf06bcb5811d060c369fa,On-line sources only,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An AI language model,60fcf06bcb5811d060c369fa,medicaid,GPT-4_Alpaca,2
2024-03-12 16:28:50,2024-03-12 16:31:21,IP Address,98.204.232.85,100,150,True,2024-03-12 16:31:21,R_2Vstk58lFfj1pJL,,,,,39.3641,-77.4622,anonymous,EN,I agree to take part,5cb0cfc643e80b00010a384b,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,79,18,21,,,,,An AI language model,5cb0cfc643e80b00010a384b,affirmative action,shareGPT,1
2024-03-12 16:29:51,2024-03-12 16:31:43,IP Address,184.14.123.176,100,112,True,2024-03-12 16:31:44,R_7eEpswJd5dbG291,,,,,38.4203,-81.9947,anonymous,EN,I agree to take part,63813303bf22d37fba910c95,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,65,37,57,,,,,A political science graduate student,63813303bf22d37fba910c95,affirmative action,GPT-4_Alpaca,3
2024-03-12 16:30:22,2024-03-12 16:33:10,IP Address,100.4.53.241,100,167,True,2024-03-12 16:33:11,R_18yl4AFGSHKSMa5,,,,,36.8558,-76.0042,anonymous,EN,I agree to take part,57bb6878eb28030001f7ea94,On-line sources only,,,,,,,,,20,80,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An AI language model,57bb6878eb28030001f7ea94,pensions,Llama-2-instruct,1
2024-03-12 16:30:10,2024-03-12 16:36:14,IP Address,24.140.212.21,100,364,True,2024-03-12 16:36:15,R_2dSJztfZBJctlG9,,,,,40.0204,-80.7638,anonymous,EN,I agree to take part,5f6bd56284bbfa14e89717d1,On-line sources only,,,,,,,,,,,,,,,,,22,76,83,13,,,,,,,,,,,,,,,,,,,,,A politician,5f6bd56284bbfa14e89717d1,solitary confinement,Llama-2-instruct,2
2024-03-12 16:36:38,2024-03-12 16:38:02,IP Address,74.83.64.146,100,84,True,2024-03-12 16:38:03,R_7mlNITg25SDdYyk,,,,,39.1638,-84.4517,anonymous,EN,I agree to take part,5d34de398f657e00150dd0d5,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,20,40,80,,,,,,,,,A political science graduate student,5d34de398f657e00150dd0d5,felons voting,OpenOrca,1
2024-03-12 16:37:36,2024-03-12 16:39:40,IP Address,138.199.105.90,100,124,True,2024-03-12 16:39:41,R_3qWhAD14Kc7TiQM,,,,,42.2739,-89.0474,anonymous,EN,I agree to take part,5e96d0eefea475161115aba9,On-line sources only,,,,,,,,,,,,,100,29,62,80,,,,,,,,,,,,,,,,,,,,,,,,,A political journalist,5e96d0eefea475161115aba9,foreign aid,GPT-4_Alpaca,2
2024-03-12 16:42:14,2024-03-12 16:42:24,IP Address,166.196.61.62,100,9,True,2024-03-12 16:42:25,R_1h2iOiDNWHe7Ajf,,,,,32.7797,-96.8022,anonymous,EN,I agree to take part,63bc83e58f58b8076e7fad9b,About half on-line sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63bc83e58f58b8076e7fad9b,,,
2024-03-12 16:42:30,2024-03-12 16:43:07,IP Address,166.196.61.62,100,36,True,2024-03-12 16:43:07,R_1EPMhIhvMm2u0r7,,,,,32.7797,-96.8022,anonymous,EN,I agree to take part,63bc83e58f58b8076e7fad9b,On-line sources only,83,52,72,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A political journalist,63bc83e58f58b8076e7fad9b,medicaid,shareGPT,1
2024-03-12 16:46:01,2024-03-12 16:46:12,IP Address,75.190.65.14,100,11,True,2024-03-12 16:46:13,R_5d6q1Rc7iNSy48A,,,,,35.8655,-80.8934,anonymous,EN,I agree to take part,5ec53c2be88df14a29d22fc4,About half on-line sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5ec53c2be88df14a29d22fc4,,,
2024-03-12 16:46:00,2024-03-12 16:47:04,IP Address,108.46.162.4,100,63,True,2024-03-12 16:47:04,R_1PppXV5UrYDslOR,,,,,40.6221,-73.981,anonymous,EN,I agree to take part,6117ba4fd05245c3cc387782,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,42,42,53,40,,,,,,,,,,,,,An AI language model,6117ba4fd05245c3cc387782,border restrictions,OpenOrca,2
2024-03-12 16:46:45,2024-03-12 16:49:27,IP Address,98.227.153.17,100,161,True,2024-03-12 16:49:28,R_3aQ7IU3sxd1vy4s,,,,,41.8373,-87.8283,anonymous,EN,I agree to take part,5f8e374790bf7f212e779735,On-line sources only,,,,,,,,,,,,,,,,,,,,,100,0,60,100,,,,,,,,,,,,,,,,,A political science graduate student,5f8e374790bf7f212e779735,assisted suicide,Llama-2-instruct,1
2024-03-12 16:47:31,2024-03-12 16:50:24,IP Address,75.200.216.196,100,172,True,2024-03-12 16:50:24,R_265yKwaaBSdprKY,,,,,28.6225,-81.4317,anonymous,EN,I agree to take part,63f7f9c1667fdae7a300f6d9,On-line sources only,,,,,0,100,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,An AI language model,63f7f9c1667fdae7a300f6d9,veteran healthcare,GPT-4_Alpaca,2
2024-03-12 16:49:31,2024-03-12 16:54:26,IP Address,99.123.172.40,100,295,True,2024-03-12 16:54:26,R_2qKGVa9ob5lMNfH,,,,,34.0853,-80.9167,anonymous,EN,I agree to take part,645504167604634b380f35fd,On-line sources only,,,,,,,,,,,,,,,,,,,,,90,10,85,90,,,,,,,,,,,,,,,,,A political strategist / consultant,645504167604634b380f35fd,assisted suicide,OpenOrca,2
2024-03-12 16:53:12,2024-03-12 16:55:24,IP Address,184.187.101.101,100,132,True,2024-03-12 16:55:25,R_17U9f0RvjRVB7v1,,,,,36.8366,-76.1624,anonymous,EN,I agree to take part,6121bf8a18ff7653c779e4a4,On-line sources only,,,,,,,,,,,,,,,,,60,65,60,30,,,,,,,,,,,,,,,,,,,,,A political strategist / consultant,6121bf8a18ff7653c779e4a4,solitary confinement,OpenOrca,3
2024-03-12 16:55:09,2024-03-12 16:56:18,IP Address,74.71.109.203,100,68,True,2024-03-12 16:56:18,R_7Mv4AWuBFkgqnvP,,,,,40.7809,-73.9502,anonymous,EN,I agree to take part,5ba3e0889ac9510001bf1c00,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,80,15,15,,,,,A political science graduate student,5ba3e0889ac9510001bf1c00,affirmative action,Llama-2-instruct,2
2024-03-12 16:55:28,2024-03-12 16:56:49,IP Address,204.185.64.139,100,81,True,2024-03-12 16:56:50,R_2YsRscJD13uXr04,,,,,39.249,-94.4232,anonymous,EN,I agree to take part,62e0314e341f3717a3c2e1f5,On-line sources only,,,,,,,,,,,,,,,,,,,,,,,,,100,7,98,98,,,,,,,,,,,,,An AI language model,62e0314e341f3717a3c2e1f5,border restrictions,Llama-2-instruct,2
2024-03-12 16:55:19,2024-03-12 16:57:24,IP Address,98.21.58.39,100,124,True,2024-03-12 16:57:24,R_1fTgWskt07GGQ7f,,,,,40.1736,-76.2956,anonymous,EN,I agree to take part,5d754511abfec00001d24e13,On-line sources only,40,60,37,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A political journalist,5d754511abfec00001d24e13,medicaid,OpenOrca,1
2024-03-12 16:55:46,2024-03-12 16:57:26,IP Address,45.48.147.206,100,99,True,2024-03-12 16:57:27,R_1NFF18XlmzC8SFW,,,,,33.707,-117.9519,anonymous,EN,I agree to take part,62eac177140adc1407304791,On-line sources only,,,,,,,,,78,18,68,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A political strategist / consultant,62eac177140adc1407304791,pensions,GPT-4_Alpaca,2
2024-03-12 16:56:17,2024-03-12 16:57:39,IP Address,68.187.114.105,100,81,True,2024-03-12 16:57:39,R_8Vjpy7KxCXKCSB5,,,,,44.951,-89.5335,anonymous,EN,I agree to take part,5c69f6b01b9d0e000190b438,On-line sources only,,,,,,,,,,,,,25,47,38,81,,,,,,,,,,,,,,,,,,,,,,,,,A political journalist,5c69f6b01b9d0e000190b438,foreign aid,shareGPT,2
2024-03-12 16:56:21,2024-03-12 16:57:42,IP Address,184.19.111.14,100,80,True,2024-03-12 16:57:42,R_2kY3CQO2yPIRDfE,,,,,37.797,-81.1979,anonymous,EN,I agree to take part,6283c36ad3efe29ccf3d414e,On-line sources only,,,,,17,87,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A politician,6283c36ad3efe29ccf3d414e,veteran healthcare,OpenOrca,3
